vendor,device,device_kind,parent_device,processor,processor_units,core,core_version,fpu,endian,dsp,mve,trustzone,mpu,clock_hz,rust_target,source_pack_vendor,source_pack_name,source_pack_version,source_url,source_pdsc
ABOV Semiconductor,A31G213,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31G21x_Series,1.5.1,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G21x_Series.pdsc
ABOV Semiconductor,A31G213,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G213CL2N,variant,A31G213,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G213CLN,variant,A31G213,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G213GRN,variant,A31G213,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G213KNN,variant,A31G213,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G213SQN,variant,A31G213,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31G22x_Series,1.0.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G22x_Series.pdsc
ABOV Semiconductor,A31G224,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224CL2N,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224CLN,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224ML2N,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224MLN,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224MM2N,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224MMN,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224RL2N,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224RLN,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224RM2N,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G224RMN,variant,A31G224,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31G22x_Series,1.0.0,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31G22x_Series.pdsc
ABOV Semiconductor,A31G226,device,,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226CL2N,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226CLN,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226ML2N,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226MLN,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226MM2N,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226MMN,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226RL2N,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
ABOV Semiconductor,A31G226RLN,variant,A31G226,,,Cortex-M0+,r0p0,NO_FPU,Little-endian,,,,0,48000000,thumbv6m-none-eabi,ABOV,A31xxxx_DFP,1.0.12,https://www.abov.co.kr/data/mds/PACK/,ABOV.A31xxxx_DFP.pdsc
